"","timestamp","location","price","last4ccnum","datestamp","loyaltynum"
"1",2014-01-06 07:28:00,"Brew've Been Served",11.34,"4795",2014-01-06,"L8566"
"2",2014-01-06 07:34:00,"Hallowed Grounds",52.22,"7108",2014-01-06,NA
"3",2014-01-06 07:35:00,"Brew've Been Served",8.33,"6816",2014-01-06,"L8148"
"4",2014-01-06 07:36:00,"Hallowed Grounds",16.72,"9617",2014-01-06,"L5553"
"5",2014-01-06 07:37:00,"Brew've Been Served",4.24,"7384",2014-01-06,"L3800"
"6",2014-01-06 07:38:00,"Brew've Been Served",4.17,"5368",2014-01-06,"L2247"
"7",2014-01-06 07:42:00,"Coffee Cameleon",28.73,"7253",2014-01-06,NA
"8",2014-01-06 07:43:00,"Brew've Been Served",9.6,"4948",2014-01-06,"L9406"
"9",2014-01-06 07:43:00,"Brew've Been Served",16.9,"9683",2014-01-06,"L7291"
"10",2014-01-06 07:47:00,"Hallowed Grounds",16.53,"8129",2014-01-06,"L8328"
"11",2014-01-06 07:48:00,"Hallowed Grounds",10.66,"3492",2014-01-06,"L7814"
"12",2014-01-06 07:49:00,"Coffee Cameleon",8.39,"5921",2014-01-06,"L3295"
"13",2014-01-06 07:52:00,"Brew've Been Served",32.83,"9405",2014-01-06,NA
"14",2014-01-06 07:54:00,"Hallowed Grounds",16.88,"7889",2014-01-06,NA
"15",2014-01-06 07:54:00,"Coffee Cameleon",11.86,"2142",2014-01-06,"L9637"
"16",2014-01-06 07:54:00,"Hallowed Grounds",32.93,"2681",2014-01-06,NA
"17",2014-01-06 07:55:00,"Hallowed Grounds",8.05,"9551",2014-01-06,"L5777"
"18",2014-01-06 07:55:00,"Brew've Been Served",3.67,"3484",2014-01-06,"L2490"
"19",2014-01-06 07:59:00,"Brew've Been Served",8.88,"7819",2014-01-06,"L5259"
"20",2014-01-06 08:00:00,"Brew've Been Served",4.27,"5407",2014-01-06,"L4034"
"21",2014-01-06 08:00:00,"Hallowed Grounds",9.69,"6691",2014-01-06,NA
"22",2014-01-06 08:01:00,"Hallowed Grounds",10.07,"1874",2014-01-06,"L4424"
"23",2014-01-06 08:06:00,"Brew've Been Served",18.24,"3853",2014-01-06,"L1485"
"24",2014-01-06 08:06:00,"Brew've Been Served",15.58,"4434",2014-01-06,"L2169"
"25",2014-01-06 08:07:00,"Brew've Been Served",5.66,"6901",2014-01-06,"L9363"
"26",2014-01-06 08:14:00,"Coffee Cameleon",3.2,"2418",2014-01-06,NA
"27",2014-01-06 08:16:00,"Brew've Been Served",14.97,"1286",2014-01-06,"L3572"
"28",2014-01-06 08:16:00,"Brew've Been Served",11.2,"8411",2014-01-06,"L6110"
"29",2014-01-06 08:17:00,"Brew've Been Served",15.39,"8202",2014-01-06,"L2343"
"30",2014-01-06 08:23:00,"Abila Airport",4540.08,"9220",2014-01-06,"L4063"
"31",2014-01-06 09:06:00,"Kronos Pipe and Irrigation",242.21,"9220",2014-01-06,"L4063"
"32",2014-01-06 10:02:00,"Nationwide Refinery",761.64,"9735",2014-01-06,"L9633"
"33",2014-01-06 10:18:00,"Maximum Iron and Steel",2859.51,"9220",2014-01-06,"L4063"
"34",2014-01-06 11:33:00,"Stewart and Sons Fabrication",2144.62,"9735",2014-01-06,"L9633"
"35",2014-01-06 11:57:00,"Carlyle Chemical Inc.",3959.66,"9220",2014-01-06,"L4063"
"36",2014-01-06 12:00:00,"Coffee Shack",51.51,"7117",2014-01-06,NA
"37",2014-01-06 12:00:00,"Bean There Done That",10.28,"1415",2014-01-06,"L7783"
"38",2014-01-06 12:00:00,"Bean There Done That",16.09,"9635",2014-01-06,"L3191"
"39",2014-01-06 12:00:00,"Brewed Awakenings",5.72,"7688",2014-01-06,"L4164"
"40",2014-01-06 12:00:00,"Jack's Magical Beans",11.03,"6899",2014-01-06,"L6267"
"41",2014-01-06 12:00:00,"Brewed Awakenings",16.89,"2540",2014-01-06,"L5947"
"42",2014-01-06 12:00:00,"Bean There Done That",8.54,"1877",2014-01-06,"L3014"
"43",2014-01-06 12:00:00,"Brewed Awakenings",4.35,"8332",2014-01-06,"L2070"
"44",2014-01-06 12:00:00,"Bean There Done That",5.24,"1321",2014-01-06,"L4149"
"45",2014-01-06 12:00:00,"Bean There Done That",4.27,"6895",2014-01-06,"L3366"
"46",2014-01-06 12:00:00,"Jack's Magical Beans",18.59,"9241",2014-01-06,"L3288"
"47",2014-01-06 12:00:00,"Jack's Magical Beans",27.84,"8156",2014-01-06,NA
"48",2014-01-06 12:00:00,"Jack's Magical Beans",18.1,"2463",2014-01-06,"L6886"
"49",2014-01-06 12:16:00,"Abila Airport",1873.79,"8642",2014-01-06,NA
"50",2014-01-06 12:56:00,"Katerina's Cafe",13.68,"8332",2014-01-06,NA
"51",2014-01-06 12:57:00,"Hippokampos",9.16,"8156",2014-01-06,NA
"52",2014-01-06 13:18:00,"Abila Zacharo",106.93,"2418",2014-01-06,NA
"53",2014-01-06 13:19:00,"Gelatogalore",12.74,"7253",2014-01-06,"L1682"
"54",2014-01-06 13:19:00,"Kalami Kafenion",70.1,"3484",2014-01-06,NA
"55",2014-01-06 13:20:00,"Hippokampos",34.03,"6691",2014-01-06,"L6267"
"56",2014-01-06 13:21:00,"Hippokampos",28.23,"9551",2014-01-06,NA
"57",2014-01-06 13:22:00,"Ouzeri Elian",38.9,"2540",2014-01-06,"L5947"
"58",2014-01-06 13:23:00,"Hippokampos",13.26,"4795",2014-01-06,"L8566"
"59",2014-01-06 13:24:00,"Guy's Gyros",15.44,"1415",2014-01-06,"L7783"
"60",2014-01-06 13:27:00,"Abila Zacharo",30.08,"7688",2014-01-06,"L4164"
"61",2014-01-06 13:27:00,"Abila Zacharo",50.14,"1286",2014-01-06,"L3288"
"62",2014-01-06 13:28:00,"Katerina's Cafe",33.54,"8411",2014-01-06,"L6110"
"63",2014-01-06 13:28:00,"Kalami Kafenion",8.64,"5407",2014-01-06,"L4034"
"64",2014-01-06 13:30:00,"Guy's Gyros",16.92,"7384",2014-01-06,"L3800"
"65",2014-01-06 13:35:00,"Hippokampos",36.54,"2681",2014-01-06,"L1107"
"66",2014-01-06 13:35:00,"Abila Zacharo",92.05,"7354",2014-01-06,NA
"67",2014-01-06 13:37:00,"Ouzeri Elian",20.56,"6816",2014-01-06,"L8148"
"68",2014-01-06 13:39:00,"Guy's Gyros",11.22,"1310",2014-01-06,"L8012"
"69",2014-01-06 13:41:00,"Gelatogalore",22.64,"7889",2014-01-06,"L6119"
"70",2014-01-06 13:42:00,"Ouzeri Elian",20.4,"6895",2014-01-06,"L3366"
"71",2014-01-06 13:46:00,"Guy's Gyros",30.82,"9635",2014-01-06,"L3191"
"72",2014-01-06 13:46:00,"Katerina's Cafe",18.56,"6899",2014-01-06,"L6267"
"73",2014-01-06 13:46:00,"Guy's Gyros",99.67,"2463",2014-01-06,NA
"74",2014-01-06 13:47:00,"Kalami Kafenion",22.13,"1321",2014-01-06,NA
"75",2014-01-06 13:48:00,"Ouzeri Elian",20.74,"5368",2014-01-06,"L2247"
"76",2014-01-06 13:48:00,"Ouzeri Elian",30.87,"5921",2014-01-06,"L3295"
"77",2014-01-06 13:50:00,"Katerina's Cafe",13.59,"1874",2014-01-06,"L4424"
"78",2014-01-06 13:50:00,"Katerina's Cafe",32.64,"9617",2014-01-06,"L5553"
"79",2014-01-06 13:52:00,"Kalami Kafenion",22.31,"4434",2014-01-06,"L2169"
"80",2014-01-06 13:52:00,"Gelatogalore",36.33,"3492",2014-01-06,"L7814"
"81",2014-01-06 13:53:00,"Katerina's Cafe",36.95,"2142",2014-01-06,NA
"82",2014-01-06 13:54:00,"Abila Zacharo",23.15,"9405",2014-01-06,"L3259"
